"Constituency","Party","Sex","Average age"
"Lapland constituency","PS","Women",50.4
"Lapland constituency","KESK","Men",48.1
"Lapland constituency","KESK","Women",42.2
"Lapland constituency","VAS","Men",49.1
"Lapland constituency","VAS","Women",41.7
"Lapland constituency","VIHR","Men",43.0
"Lapland constituency","VIHR","Women",44.5
"Lapland constituency","RKP","Men",26.5
"Lapland constituency","RKP","Women",35.5
"Lapland constituency","KD","Men",45.0
"Lapland constituency","KD","Women",-
"Lapland constituency","STP","Men",-
"Lapland constituency","STP","Women",-
"Lapland constituency","IP","Men",39.2
"Lapland constituency","IP","Women",-
"Lapland constituency","Change2011","Men",38.0
"Lapland constituency","Change2011","Women",63.0
"Lapland constituency","KA","Men",-
"Lapland constituency","KA","Women",-
"Lapland constituency","Pirate Pty","Men",36.4
"Lapland constituency","Pirate Pty","Women",-
"Lapland constituency","SKP","Men",59.8
"Lapland constituency","SKP","Women",53.3
"Lapland constituency","KTP","Men",68.5
"Lapland constituency","KTP","Women",-
"Lapland constituency","Others","Men",-
"Lapland constituency","Others","Women",-
"Region of Åland constituency","KOK","Men",-
"Region of Åland constituency","KOK","Women",-
"Region of Åland constituency","SDP","Men",-
"Region of Åland constituency","SDP","Women",-
"Region of Åland constituency","PS","Men",-
"Region of Åland constituency","PS","Women",-
"Region of Åland constituency","KESK","Men",-
"Region of Åland constituency","KESK","Women",-
"Region of Åland constituency","VAS","Men",-
"Region of Åland constituency","VAS","Women",-
"Region of Åland constituency","VIHR","Men",-
"Region of Åland constituency","VIHR","Women",-
"Region of Åland constituency","RKP","Men",-
"Region of Åland constituency","RKP","Women",-
"Region of Åland constituency","KD","Men",-
"Region of Åland constituency","KD","Women",-
"Region of Åland constituency","STP","Men",-
"Region of Åland constituency","STP","Women",-
"Region of Åland constituency","IP","Men",-
"Region of Åland constituency","IP","Women",-
"Region of Åland constituency","Change2011","Men",-
"Region of Åland constituency","Change2011","Women",-
"Region of Åland constituency","KA","Men",-
"Region of Åland constituency","KA","Women",-
"Region of Åland constituency","Pirate Pty","Men",-
"Region of Åland constituency","Pirate Pty","Women",-
"Region of Åland constituency","SKP","Men",-
"Region of Åland constituency","SKP","Women",-
"Region of Åland constituency","KTP","Men",-
"Region of Åland constituency","KTP","Women",-
"Region of Åland constituency","Others","Men",35.0
"Region of Åland constituency","Others","Women",42.8
